0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:16 +0530] "GET /ShoppingFrontend/resources/images/vanilla1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:16 +0530] "GET /ShoppingFrontend/resources/images/redvelvet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:16 +0530] "GET /ShoppingFrontend/resources/images/carrot.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:16 +0530] "GET /ShoppingFrontend/resources/images/cookiesncream.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:16 +0530] "GET /ShoppingFrontend/resources/images/banana.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:16 +0530] "GET /ShoppingFrontend/resources/images/lemonraspberry.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:18 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:19 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:20 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:20 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:21 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:21 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:54 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3933
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:54 +0530] "GET /ShoppingFrontend/resources/images/vanilla1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:54 +0530] "GET /ShoppingFrontend/resources/images/redvelvet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:54 +0530] "GET /ShoppingFrontend/resources/images/carrot.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:54 +0530] "GET /ShoppingFrontend/resources/images/cookiesncream.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:54 +0530] "GET /ShoppingFrontend/resources/images/banana.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:54 +0530] "GET /ShoppingFrontend/resources/images/lemonraspberry.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:10:24 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 4047
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:10:24 +0530] "GET /ShoppingFrontend/resources/images/vanilla1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:10:24 +0530] "GET /ShoppingFrontend/resources/images/redvelvet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:10:24 +0530] "GET /ShoppingFrontend/resources/images/carrot.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:10:24 +0530] "GET /ShoppingFrontend/resources/images/cookiesncream.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:10:24 +0530] "GET /ShoppingFrontend/resources/images/banana.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:10:24 +0530] "GET /ShoppingFrontend/resources/images/lemonraspberry.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:10:27 +0530] "GET /ShoppingFrontend/index.jsp HTTP/1.1" 200 5034
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:10:55 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:11:07 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 4047
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:11:39 +0530] "GET /ShoppingFrontend/gallery.jsp HTTP/1.1" 200 3022
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:11:43 +0530] "GET /ShoppingFrontend/about.jsp HTTP/1.1" 200 4126
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:11:43 +0530] "GET /ShoppingFrontend/resources/images/bakery.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:11:43 +0530] "GET /ShoppingFrontend/resources/images/pastrychef.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:12:01 +0530] "GET /ShoppingFrontend/contact.jsp HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:12:09 +0530] "GET /ShoppingFrontend/signup.jsp HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:12:14 +0530] "GET /ShoppingFrontend/loginform.jsp HTTP/1.1" 200 3003
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:12:19 +0530] "GET /ShoppingFrontend/index.jsp HTTP/1.1" 200 5034
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:13:57 +0530] "GET /ShoppingFrontend/index.jsp HTTP/1.1" 200 5068
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:16:18 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:16:24 +0530] "GET /ShoppingFrontend/cakes.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:17:37 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 3444
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:17:53 +0530] "GET /ShoppingFrontend/order.jsp HTTP/1.1" 200 3443
